German,English
ch,ch
das,the
hat,has
ein,a
nicht,not
und,and
zu,to
in,in
was,What
wird,becomes
kann,can
mit,with
auf,on
dass,that
aber,but
will,wants
an,to
gut,good
weiß,white
so,so
von,from
hier,here
sagen,say
bitte,please
für,for
geht,goes
komm,come
machen,make
wenn,if
keine,no
alles,everything
muss,must
nein,no
diese,this
sehen,see
nein,no
mehr,more
noch,still
da,there
tun,do
nur,only
weiß,white
soll,should
schon,already
auch,also
um,to
aus,out of
dann,then
doch,but
hör,hear
lassen,let
doch,but
oder,or
dachte,thought
nach,after
viel,much
bei,at
nichts,nothing
man,one
wo,where
wissen,knowledge
etwas,something
Mann,Man
oh,Oh
mehr,more
also,so
danke,Thanks
wer,who
immer,always
warum,Why
ganz,quite
weg,away
vor,before
los,go
liebe,love
glaube,believe
leben,life
wieder,again
finden,find
leben,life
sehr,very
okay,OK
denn,because
möchte,want
vielleicht,perhaps
brauchen,need
über,above
brauchen,need
vielleicht,perhaps
anderen,others
nehmen,take
fall,case
wirklich,really
einfach,simply
halt,stop
Frau,Woman
nie,never
hey,hey
hause,home
bringen,bring
zeit,time
leid,sorrow
weil,because
warte,wait
fall,case
verstehe,understand
lange,long
fahren,drive
reden,talk
bleiben,remain
jeder,everyone
nun,so
schön,nice
heute,today
tag,day
sicher,secure
steht,stands
fragen,questions
Gott,God
weiter,further
jemand,someone
arbeit,work
damit,with it
kennen,know
Jahre,Years
bis,until
kleine,small
erst,first
zurück,back
helfen,help
große,size
helfen,help
na,n/a
sprechen,speak
Kinder,Children
zwei,two
hallo,Hello
alter,age
halten,hold
sprechen,speak
Leute,People
Vater,Father
Freund,Friend
genau,Exactly
versuchen,attempt
morgen,morning
passiert,happened
klar,clear
richtig,correct
spielen,play
junge,boy
neue,new
darf,may
ab,away
gerade,straight
heißt,is called
durch,through
Geld,Money
letzte,last
töten,kill
gleich,even
recht,right
menschen,people
sterben,die
raus,out
Mutter,Mother
ob,whether
paar,couple
nächste,next
Herr,Mister
bekommen,receive
Namen,Names
wohl,probably
krieg,war
scheiße,shit
verdammt,damned
suchen,seek
wohl,probably
erzählt,told
scheiße,shit
nacht,night
läuft,running
krieg,war
selbst,himself
her,here
recht,right
arbeiten,work
ohne,without
essen,eat
schnell,fast
tot,dead
stimmt,true
natürlich,naturally
stellen,place
später,later
Sache,Matter
niemand,no one
ordnung,order
ruf,call
dinge,things
liegt,lies
Mädchen,Girl
seit,since
welche,which
ach,Oh
davon,of that
zeigen,show
dinge,things
Problem,problem
allein,alone
vergessen,forget
verloren,lost
dafür,for that
drei,three
wegen,because of
hin,there
rein,pure
welche,which
schau,look
abend,evening
sorgen,care for
unter,under
angst,fear
Welt,World
fühle,feel
schlafen,sleep
schaffen,create
Musik,Music
Hand,hand
zusammen,together
liegt,lies
wahr,true
ziehen,pull
Bruder,Brother
Moment,moment
genug,enough
echt,real
setzen,set
Sohn,Son
gegen,against
wenig,few
toll,great
einmal,once
sonst,otherwise
Familie,Family
erinnern,remember
pass,passport
Schatz,Treasure
nennen,to name
dabei,included
sofort,immediately
halt,stop
ende,end
pass,passport
Augen,Eyes
bevor,before
stunden,hours
Minuten,minutes
einzige,only
schlecht,bad
fangen,catch
plan,plan
verschwinden,disappear
hoch,high
trinken,drink
fertig,complete
wann,When
schicken,send
Woche,Week
Hilfe,Help
verrückt,crazy
früher,earlier
darüber,about it
Land,country
ne,no
freunde,friends
bereit,ready
daran,to it
wichtig,important
teil,part
Kopf,Head
dazu,in addition
schlagen,hit
schreiben,write
reicht,suffices
verlassen,leave
eigentlich,actually
Stadt,City
nett,nice
schlagen,hit
Grund,Reason
kurz,short
hoffe,hope
Typ,type
Wort,Word
gern,gladly
Auto,car
sitzen,sit
teil,part
kämpfen,battle
bedeutet,means
egal,doesn't matter
Tür,door
Kerl,guy
falsch,incorrect
verlassen,leave
all,all
legen,place
Uhr,Clock
anfangen,begin
lernen,learn
schwer,difficult
lesen,read
glück,happiness
einige,some
schuld,fault
schlimm,terrible
Waffe,weapon
retten,save
tragen,carry
angerufen,called
bisschen,a little
scheint,appears
darauf,on it
bald,soon
wünschte,wished
kaufen,buy
Tod,Death
ruhe,quiet
kümmern,take care
runter,down
voll,full
Monate,Months
ruhig,quiet
arm,arm
Polizei,police
eigenen,own
draußen,outside
Idee,idea
hinter,behind
herz,heart
Geschichte,Story
folgen,consequences
wagen,dare
versprochen,promised
bestimmt,certainly
Teufel,Devil
Tochter,Daughter
ziemlich,quite
vorbei,over
plan,plan
herz,heart
Schwester,Sister
hi,hey
Ahnung,Idea
fast,almost
Job,job
gerne,gladly
dran,your turn
wach,awake
sogar,even
überhaupt,at all
stark,strong
he,he
drin,inside
vertrauen,trust
wünschte,wished
Ort,Location
drin,inside
lachen,laugh
darum,therefore
frei,free
heiraten,marry
woher,from where
steckt,stuck
je,each
Wasser,Water
hasse,hate
fliegen,fly
laut,loud
während,while
endlich,finally
hasse,hate
erwartet,expected
oben,above
lügen,lie
laden,load
klingt,sounds
heiraten,marry
Traum,Dream
niemals,never
glücklich,happy
bezahlen,pay
fünf,five
lügen,lie
etwa,approximately
beweise,proofs
ernst,serious
Feuer,Fire
miss,miss
chance,chance
schießen,shoot
Wahrheit,Truth
anders,different
gestern,yesterday
Blut,blood
verkaufen,sell
möglich,possible
zimmer,room
erklären,explain
verkaufen,sell
vier,four
Gesicht,Face
süß,sweet
zimmer,room
platz,place
eben,even
benutzt,used
miss,miss
Freundin,Girlfriend
Antwort,Answer
Captain,Captain
deshalb,for this reason
ändern,change
film,film
buch,book
freut,happy
beginnen,start
zwischen,between
Bett,Bed
schiff,ship
spaß,fun
schreit,screams
fest,firmly
dies,this
Hund,Dog
oft,often
manchmal,sometimes
solche,such
wiedersehen,see you again
aufhören,stop
wein,wine
entschuldigung,excuse
wohnen,reside
aufhören,stop
verdient,earned
reise,trip
wohnen,reside
Bild,Picture
äh,uh
versteckt,hidden
platz,place
schiff,ship
Gefühl,Feeling
Nachricht,News
schule,school
unten,below
funktioniert,functions
Papa,papa
bloß,just
schätze,appreciate
i,i
geschehen,happen
Arsch,ass
hart,hard
dauert,lasts
böse,evil
werfen,throw
dumm,dumb
ehrlich,honest
zeug,things
brechen,break
dauert,lasts
zahlen,pay
werfen,throw
John,John
aussehen,look
zahlen,pay
langsam,slow
dasselbe,the same
zeug,things
solche,such
oft,often
Nummer,number
wohin,where
leicht,light
entscheiden,decide
besuch,visit
Eltern,Parents
singen,sing
bewegen,move
besuch,visit
menge,crowd
öffnen,open
König,king
drauf,on it
wahrscheinlich,probably
falls,if
irgendwie,somehow
